"","iso2c","value","escalado","year"
"199","Z7",18126.9284659372,0.629205154364321,2003
"200","Z7",18624.7636474295,0.801237632738068,2004
"201","Z7",19047.6451140863,0.947369022145346,2005
"202","Z7",19705.815468504,1.17480710099545,2006
"203","Z7",20332.6557786226,1.39141873493226,2007
"204","Z7",20421.8623406839,1.42224505361991,2008
"205","Z7",19431.2861675464,1.07994045077524,2009
"206","Z7",19834.6075292744,1.21931262859352,2010
"207","Z7",20192.9140913483,1.34312944223529,2011
"208","Z7",20156.6342115225,1.33059252665849,2012
"209","Z7",20150.8494970929,1.32859355431381,2013
"210","Z7",20384.6525604316,1.40938680061867,2014
"211","EU",17489.4300906199,-1.52784588381446,1980
"212","EU",17474.0389806354,-1.53119751979249,1981
"213","EU",17602.3762705271,-1.50325022563653,1982
"214","EU",17892.2830811692,-1.44011884019377,1983
"215","EU",18290.3454471367,-1.35343502410649,1984
"216","EU",18709.731695988,-1.2621076252538,1985
"217","EU",19157.089319301,-1.16468905655728,1986
"218","EU",19679.3896603074,-1.0509506311925,1987
"219","EU",20490.3271047144,-0.87435731743271,1988
"220","EU",21175.7172776954,-0.725103731105075,1989
"221","EU",21721.4706389398,-0.606258072636106,1990
"222","EU",21991.7556708005,-0.547399612263919,1991
"223","EU",22166.7264800093,-0.509297197308831,1992
"224","EU",22074.2533736686,-0.529434548709971,1993
"225","EU",22658.6862414119,-0.40216587034675,1994
"226","EU",23303.6022636181,-0.261726113564453,1995
"227","EU",23741.7471326329,-0.166313754867966,1996
"228","EU",24365.8127267883,-0.0304144792389275,1997
"229","EU",25072.0220682569,0.123372781021642,1998
"230","EU",25776.4491717928,0.276771933291126,1999
"231","EU",26734.5696200069,0.485416466970134,2000
"232","EU",27264.7355291356,0.600867733132806,2001
"233","EU",27556.8198650298,0.664473306076355,2002
"234","EU",27820.0299811439,0.721791101598398,2003
"235","EU",28408.7834879437,0.850000661374618,2004
"236","EU",28889.2319796027,0.954625243477863,2005
"237","EU",29743.2157759795,1.14059252065745,2006
"238","EU",30547.2950670542,1.31569237270626,2007
"239","EU",30569.3292225922,1.32049062757683,2008
"240","EU",29139.4535636678,1.00911459898739,2009
"241","EU",29684.664272352,1.127842087042,2010
"242","EU",30148.8838306416,1.2289325850525,2011
"243","EU",30044.107395311,1.20611600647843,2012
"244","EU",29943.6009392442,1.18422927741751,2013
"245","EU",30363.8115876881,1.27573620116071,2014
"246","XE",471.875390631314,0.503499929868047,1980
"247","XE",479.454735618427,0.666969792849535,1981
"248","XE",474.008040459002,0.549496513439901,1982
"249","XE",464.850980197789,0.351998789196067,1983
"250","XE",458.744988295919,0.220305923749001,1984
"251","XE",455.160945422129,0.143005972566624,1985
"252","XE",456.6535703967,0.17519862252394,1986
"253","XE",457.921684961809,0.202549074912064,1987
"254","XE",449.622259829732,0.0235486610936504,1988
"255","XE",445.160159075624,-0.0726890745053818,1989
"256","XE",427.306375026122,-0.457756073993534,1990
"257","XE",417.016030141342,-0.679696264235222,1991
"258","XE",400.369399939706,-1.0387276004248,1992
"259","XE",389.294149603403,-1.27759648131615,1993
"260","XE",378.862653507266,-1.5025809938864,1994
"261","XE",385.202316911819,-1.3658483461638,1995
"262","XE",395.289452678987,-1.14829093130298,1996
"263","XE",401.03233976201,-1.02442944113778,1997
"264","XE",404.572590125282,-0.948073998446066,1998
"265","XE",405.680307732966,-0.924182956956573,1999
"266","XE",404.840314402355,-0.942299772445751,2000
"267","XE",410.317116372382,-0.824177155103579,2001
"268","XE",412.837446288497,-0.769819161536064,2002
"269","XE",419.100245020399,-0.634744316371295,2003
"270","XE",429.729378199466,-0.405497204998428,2004
"271","XE",443.247182045998,-0.113947797185429,2005
"272","XE",456.448932354014,0.170785028360387,2006
"273","XE",472.26863807394,0.511981415494205,2007
"274","XE",486.101216196221,0.810319814679714,2008
"275","XE",492.673057563142,0.952060032286019,2009
"276","XE",506.264944099704,1.2452072413878,2010
"277","XE",515.098321346496,1.43572383228742,2011
"278","XE",528.862784430548,1.73259313935676,2012
"279","XE",543.389373008432,2.0458998233054,2013
"280","XE",559.30726914909,2.38921396265269,2014
"281","XD",17519.0225109659,-1.58289862864102,1980
"282","XD",17701.9465693805,-1.54259178066792,1981
"283","XD",17576.1561051549,-1.57030938742752,1982
"284","XD",17943.1852740619,-1.48943544967955,1983
"285","XD",18626.3686579583,-1.33889774003586,1984
"286","XD",19169.303676767,-1.21926339859349,1985
"287","XD",19630.8088765626,-1.11757190930455,1986
"288","XD",20166.9407466751,-0.999436624260848,1987
"289","XD",20982.5664628653,-0.819715585757978,1988
"290","XD",21622.5333789365,-0.678700514162351,1989
"291","XD",22080.0191981152,-0.577894685102446,1990
